path_id,inserted,dep_min,dep_hhmm,route,dwell_min
NB_00,1,0,00:00,j0@00:00 -> j1@00:04 -> j2@00:06 -> j3@00:07 -> j4@00:10 -> j5@00:11 -> j6@00:18 -> j7@00:21 -> j8@00:25 -> j9@00:28 -> j10@00:31 -> j11@00:35,0
NB_01,1,60,01:00,j0@01:00 -> j1@01:04 -> j2@01:06 -> j3@01:07 -> j4@01:10 -> j5@01:11 -> j6@01:18 -> j7@01:21 -> j8@01:25 -> j9@01:28 -> j10@01:31 -> j11@01:35,0
NB_02,1,120,02:00,j0@02:00 -> j1@02:04 -> j2@02:06 -> j3@02:07 -> j4@02:10 -> j5@02:11 -> j6@02:18 -> j7@02:21 -> j8@02:25 -> j9@02:28 -> j10@02:31 -> j11@02:35,0
NB_03,1,183,03:03,j0@03:03 -> j1@03:07 -> j2@03:09 -> j3@03:10 -> j4@03:13 -> j5@03:14 -> j6@03:21 -> j7@03:24 -> j8@03:28 -> j9@03:31 -> j10@03:34 -> j11@03:38,0
NB_04,0,,,,
NB_05,1,351,05:51,j0@05:51 -> j1@05:55 -> j2@05:57 -> j3@05:58+2m -> j4@06:03 -> j5@06:04 -> j6@06:11 -> j7@06:14+1m -> j8@06:19 -> j9@06:22 -> j10@06:25 -> j11@06:29,3
NB_06,1,361,06:01,j0@06:01 -> j1@06:05 -> j2@06:07 -> j3@06:08 -> j4@06:11 -> j5@06:12 -> j6@06:19 -> j7@06:22 -> j8@06:26 -> j9@06:29+2m -> j10@06:34 -> j11@06:38,2
NB_07,0,,,,
NB_08,0,,,,
NB_09,0,,,,
NB_10,1,634,10:34,j0@10:34 -> j1@10:38 -> j2@10:40 -> j3@10:41 -> j4@10:44 -> j5@10:45 -> j6@10:52 -> j7@10:55+3m -> j8@11:02 -> j9@11:05 -> j10@11:08 -> j11@11:12,3
NB_11,1,691,11:31,j0@11:31 -> j1@11:35 -> j2@11:37 -> j3@11:38+1m -> j4@11:42 -> j5@11:43 -> j6@11:50 -> j7@11:53+1m -> j8@11:58 -> j9@12:01 -> j10@12:04 -> j11@12:08,2
NB_12,0,,,,
NB_13,0,,,,
NB_14,1,854,14:14,j0@14:14 -> j1@14:18 -> j2@14:20 -> j3@14:21 -> j4@14:24 -> j5@14:25 -> j6@14:32 -> j7@14:35 -> j8@14:39 -> j9@14:42 -> j10@14:45 -> j11@14:49,0
NB_15,0,,,,
NB_16,1,991,16:31,j0@16:31 -> j1@16:35 -> j2@16:37 -> j3@16:38 -> j4@16:41 -> j5@16:42 -> j6@16:49 -> j7@16:52 -> j8@16:56 -> j9@16:59 -> j10@17:02 -> j11@17:06,0
NB_17,1,1033,17:13,j0@17:13 -> j1@17:17 -> j2@17:19 -> j3@17:20 -> j4@17:23 -> j5@17:24 -> j6@17:31 -> j7@17:34 -> j8@17:38 -> j9@17:41 -> j10@17:44 -> j11@17:48,0
