path_id,inserted,dep_min,dep_hhmm,route,dwell_min
NB_00,1,4,00:04,j0@00:04 -> j1@00:08 -> j2@00:10 -> j3@00:11 -> j4@00:14 -> j5@00:15 -> j6@00:22 -> j7@00:25 -> j8@00:29 -> j9@00:32 -> j10@00:35 -> j11@00:39,0
NB_01,1,71,01:11,j0@01:11 -> j1@01:15 -> j2@01:17 -> j3@01:18 -> j4@01:21 -> j5@01:22 -> j6@01:29 -> j7@01:32 -> j8@01:36 -> j9@01:39 -> j10@01:42 -> j11@01:46,0
NB_02,1,120,02:00,j0@02:00 -> j1@02:04 -> j2@02:06 -> j3@02:07 -> j4@02:10 -> j5@02:11 -> j6@02:18 -> j7@02:21 -> j8@02:25 -> j9@02:28 -> j10@02:31 -> j11@02:35,0
NB_03,1,180,03:00,j0@03:00 -> j1@03:04 -> j2@03:06 -> j3@03:07 -> j4@03:10 -> j5@03:11 -> j6@03:18 -> j7@03:21 -> j8@03:25 -> j9@03:28 -> j10@03:31 -> j11@03:35,0
NB_04,1,240,04:00,j0@04:00 -> j1@04:04 -> j2@04:06 -> j3@04:07 -> j4@04:10 -> j5@04:11 -> j6@04:18 -> j7@04:21 -> j8@04:25 -> j9@04:28 -> j10@04:31 -> j11@04:35,0
NB_05,1,300,05:00,j0@05:00 -> j1@05:04 -> j2@05:06 -> j3@05:07 -> j4@05:10 -> j5@05:11 -> j6@05:18 -> j7@05:21 -> j8@05:25 -> j9@05:28 -> j10@05:31 -> j11@05:35,0
NB_06,1,377,06:17,j0@06:17 -> j1@06:21 -> j2@06:23 -> j3@06:24+2m -> j4@06:29 -> j5@06:30 -> j6@06:37 -> j7@06:40 -> j8@06:44 -> j9@06:47 -> j10@06:50 -> j11@06:54,2
NB_07,1,469,07:49,j0@07:49 -> j1@07:53 -> j2@07:55 -> j3@07:56 -> j4@07:59 -> j5@08:00 -> j6@08:07 -> j7@08:10 -> j8@08:14 -> j9@08:17 -> j10@08:20 -> j11@08:24,0
NB_08,0,,,,
NB_09,0,,,,
NB_10,0,,,,
NB_11,0,,,,
NB_12,1,751,12:31,j0@12:31 -> j1@12:35 -> j2@12:37 -> j3@12:38 -> j4@12:41 -> j5@12:42 -> j6@12:49 -> j7@12:52 -> j8@12:56 -> j9@12:59 -> j10@13:02 -> j11@13:06,0
NB_13,1,801,13:21,j0@13:21 -> j1@13:25 -> j2@13:27 -> j3@13:28 -> j4@13:31 -> j5@13:32 -> j6@13:39 -> j7@13:42+1m -> j8@13:47 -> j9@13:50 -> j10@13:53 -> j11@13:57,1
NB_14,1,853,14:13,j0@14:13 -> j1@14:17 -> j2@14:19 -> j3@14:20 -> j4@14:23 -> j5@14:24 -> j6@14:31 -> j7@14:34 -> j8@14:38 -> j9@14:41 -> j10@14:44 -> j11@14:48,0
NB_15,1,918,15:18,j0@15:18 -> j1@15:22 -> j2@15:24 -> j3@15:25 -> j4@15:28 -> j5@15:29 -> j6@15:36 -> j7@15:39 -> j8@15:43 -> j9@15:46 -> j10@15:49 -> j11@15:53,0
NB_16,1,974,16:14,j0@16:14 -> j1@16:18 -> j2@16:20 -> j3@16:21 -> j4@16:24 -> j5@16:25 -> j6@16:32 -> j7@16:35 -> j8@16:39 -> j9@16:42 -> j10@16:45 -> j11@16:49,0
NB_17,1,1050,17:30,j0@17:30 -> j1@17:34 -> j2@17:36 -> j3@17:37 -> j4@17:40 -> j5@17:41 -> j6@17:48 -> j7@17:51 -> j8@17:55 -> j9@17:58 -> j10@18:01 -> j11@18:05,0
NB_18,1,1105,18:25,j0@18:25 -> j1@18:29 -> j2@18:31 -> j3@18:32 -> j4@18:35 -> j5@18:36 -> j6@18:43 -> j7@18:46 -> j8@18:50 -> j9@18:53 -> j10@18:56 -> j11@19:00,0
NB_19,1,1185,19:45,j0@19:45 -> j1@19:49 -> j2@19:51 -> j3@19:52 -> j4@19:55 -> j5@19:56 -> j6@20:03 -> j7@20:06+1m -> j8@20:11 -> j9@20:14 -> j10@20:17 -> j11@20:21,1
NB_20,1,1213,20:13,j0@20:13 -> j1@20:17 -> j2@20:19 -> j3@20:20 -> j4@20:23 -> j5@20:24 -> j6@20:31 -> j7@20:34 -> j8@20:38 -> j9@20:41 -> j10@20:44 -> j11@20:48,0
NB_21,1,1285,21:25,j0@21:25 -> j1@21:29 -> j2@21:31 -> j3@21:32 -> j4@21:35 -> j5@21:36 -> j6@21:43 -> j7@21:46 -> j8@21:50 -> j9@21:53 -> j10@21:56 -> j11@22:00,0
NB_22,1,1332,22:12,j0@22:12 -> j1@22:16 -> j2@22:18 -> j3@22:19 -> j4@22:22 -> j5@22:23 -> j6@22:30 -> j7@22:33 -> j8@22:37 -> j9@22:40 -> j10@22:43 -> j11@22:47,0
NB_23,1,1385,23:05,j0@23:05 -> j1@23:09 -> j2@23:11 -> j3@23:12 -> j4@23:15 -> j5@23:16 -> j6@23:23 -> j7@23:26+2m -> j8@23:32 -> j9@23:35 -> j10@23:38 -> j11@23:42,2
SB_00,1,0,00:00,j11@00:00 -> j10@00:04 -> j9@00:07 -> j8@00:10 -> j7@00:13 -> j6@00:16 -> j5@00:22 -> j4@00:23 -> j3@00:25 -> j2@00:26 -> j1@00:27 -> j0@00:31,0
SB_01,1,60,01:00,j11@01:00 -> j10@01:04 -> j9@01:07 -> j8@01:10+1m -> j7@01:14 -> j6@01:17 -> j5@01:23 -> j4@01:24 -> j3@01:26 -> j2@01:27 -> j1@01:28 -> j0@01:32,1
SB_02,1,120,02:00,j11@02:00 -> j10@02:04 -> j9@02:07 -> j8@02:10 -> j7@02:13 -> j6@02:16 -> j5@02:22 -> j4@02:23 -> j3@02:25 -> j2@02:26 -> j1@02:27 -> j0@02:31,0
SB_03,1,180,03:00,j11@03:00 -> j10@03:04 -> j9@03:07 -> j8@03:10 -> j7@03:13 -> j6@03:16 -> j5@03:22 -> j4@03:23 -> j3@03:25 -> j2@03:26 -> j1@03:27 -> j0@03:31,0
SB_04,1,261,04:21,j11@04:21 -> j10@04:25 -> j9@04:28 -> j8@04:31 -> j7@04:34 -> j6@04:37 -> j5@04:43 -> j4@04:44 -> j3@04:46 -> j2@04:47 -> j1@04:48 -> j0@04:52,0
SB_05,1,300,05:00,j11@05:00 -> j10@05:04 -> j9@05:07 -> j8@05:10 -> j7@05:13 -> j6@05:16 -> j5@05:22 -> j4@05:23 -> j3@05:25 -> j2@05:26 -> j1@05:27 -> j0@05:31,0
SB_06,1,360,06:00,j11@06:00 -> j10@06:04 -> j9@06:07 -> j8@06:10 -> j7@06:13 -> j6@06:16 -> j5@06:22 -> j4@06:23 -> j3@06:25 -> j2@06:26 -> j1@06:27 -> j0@06:31,0
SB_07,1,420,07:00,j11@07:00 -> j10@07:04 -> j9@07:07 -> j8@07:10 -> j7@07:13 -> j6@07:16 -> j5@07:22 -> j4@07:23 -> j3@07:25 -> j2@07:26 -> j1@07:27 -> j0@07:31,0
SB_08,1,480,08:00,j11@08:00 -> j10@08:04 -> j9@08:07 -> j8@08:10 -> j7@08:13 -> j6@08:16 -> j5@08:22 -> j4@08:23 -> j3@08:25 -> j2@08:26 -> j1@08:27 -> j0@08:31,0
SB_09,1,540,09:00,j11@09:00 -> j10@09:04 -> j9@09:07 -> j8@09:10 -> j7@09:13 -> j6@09:16 -> j5@09:22 -> j4@09:23 -> j3@09:25 -> j2@09:26 -> j1@09:27 -> j0@09:31,0
