path_id,inserted,dep_min,dep_hhmm,route,dwell_min
D_20260312_4M60_1,0,,,,
D_20260312_4M78_1,0,,,,
D_20260313_4M60_1,0,,,,
D_20260314_4M60_1,0,,,,
D_20260314_4M90_2,0,,,,
D_20260314_4M78_1,0,,,,
D_20260314_4M53_1,0,,,,
D_20260317_4H61_1,0,,,,
D_20260316_4H61_1,0,,,,
D_20260314_4H74_1,0,,,,
D_20260312_4O46_1,1,173,02:53,j11@02:53 -> j10@02:57 -> j9@03:00 -> j8@03:03 -> j7@03:06 -> j6@03:09 -> j5@03:15 -> j4@03:16 -> j3@03:18 -> j2@03:19 -> j1@03:20 -> j0@03:24,0
D_20260314_4Z20_1,1,17,00:17,j11@00:17 -> j10@00:21 -> j9@00:24 -> j8@00:27 -> j7@00:30 -> j6@00:33 -> j5@00:39 -> j4@00:40 -> j3@00:42 -> j2@00:43 -> j1@00:44 -> j0@00:48,0
D_20260314_4O46_1,1,102,01:42,j11@01:42 -> j10@01:46 -> j9@01:49 -> j8@01:52 -> j7@01:55 -> j6@01:58 -> j5@02:04 -> j4@02:05 -> j3@02:07 -> j2@02:08 -> j1@02:09 -> j0@02:13,0
D_20260312_4L22_1,1,1314,21:54,j11@21:54 -> j10@21:58+1m -> j9@22:02 -> j8@22:05+17m -> j7@22:25 -> j6@22:28 -> j5@22:34 -> j4@22:35 -> j3@22:37 -> j2@22:38 -> j1@22:39 -> j0@22:43,18
D_20260313_4L22_1,1,1434,23:54,j11@23:54 -> j10@23:58 -> j9@24:01 -> j8@24:04 -> j7@24:07 -> j6@24:10 -> j5@24:16 -> j4@24:17 -> j3@24:19 -> j2@24:20 -> j1@24:21 -> j0@24:25,0
